delta time[s],outdoor temperature[°C],flow temperature boiler[°C],return flow temperature boiler[°C],return flow temperature[°C],room temperature[°C],pump I/O,boiler heating temperature[°C],flow temperature[°C],boiler I/O
29245.421,18.049491,52.018212,43.965828,42.975822,22.787159,1,52.062841,50.006924,1
29363.896,18.062655,52.0135,43.96082,42.970951,22.791313,1,52.058687,50.002254,1
29540.561,18.082285,52.007665,43.95441,42.964712,22.795905,1,52.054095,49.996121,1
29825.777,18.113975,51.999717,43.94608,42.956537,22.803516,1,52.046484,49.988153,1
30110.993,18.145666,51.99187,43.938722,42.949106,22.811716,1,52.038284,49.980418,1
30560.006,18.195556,51.979534,43.926764,42.937017,22.824557,1,52.025443,49.968131,1
31176.081,18.264009,51.962498,43.910395,42.920569,22.842153,1,52.007847,49.951283,1
31975.248,18.352805,51.940515,43.889171,42.899132,22.864984,1,51.985016,49.929414,1
32400,18.4,51.928824,43.877887,42.887743,22.87712,1,51.97288,49.917794,1
32400,18.4,51.928824,43.877887,42.887743,22.87712,1,51.97288,49.917794,1
32400,18.4,51.928824,43.877887,42.887743,22.87712,1,51.97288,49.917794,1
33537.357,18.273627,51.951004,43.894519,42.905898,22.846387,1,52.003613,49.938333,1
35812.071,18.020881,52.011791,43.951103,42.963556,22.780486,1,52.069514,49.998121,1
36000,18,52.017762,43.957143,42.969565,22.774809,1,52.075191,50.004145,1
36000,18,52.017762,43.957143,42.969565,22.774809,1,52.075191,50.004145,1
36000,18,52.017762,43.957143,42.969565,22.774809,1,52.075191,50.004145,1
38274.714,18.631865,51.877933,43.832229,42.840842,22.935268,1,51.914732,49.868437,1
39600,19,51.793364,43.754753,42.761597,23.02925,1,51.82075,49.785758,1
39600,19,51.793364,43.754753,42.761597,23.02925,1,51.82075,49.785758,1
39600,19,51.793364,43.754753,42.761597,23.02925,1,51.82075,49.785758,1
40441.209,18.976633,51.782054,43.73563,42.744594,23.027479,1,51.822521,49.771835,1
42123.627,18.929899,51.78883,43.737432,42.747904,23.013496,1,51.836504,49.777299,1
43200,18.9,51.799902,43.749396,42.759647,23.004308,1,51.845692,49.788774,1
43200,18.9,51.799902,43.749396,42.759647,23.004308,1,51.845692,49.788774,1
43200,18.9,51.799902,43.749396,42.759647,23.004308,1,51.845692,49.788774,1
